Serial No,Age,Name,Gender,Address,Branch,City ,State,Phone No,ID Type,ID No,ID Issue Date,Employment Status,Job Title,Monthly Income,Annual Income,Account Type,Account Opening Year and Date,Account Number,IFSC Code,Initial Deposit Amount,Application Status,FD Account Number,FD Type ,FD Amount,Deposit Date,Tenure,Interest Rate,Interest Payout Frequency,Linked Account Type ,Loan Type ,Loan Amount Requested,Loan Term,Interest Rate Type,Interest Rate Offered,Loan Start Date,Loan End Date,Credit Score,Loan Application Number,Loan Application Status,Repayment Method,Collateral Type
1,55,Nikita Dhonde,F,Near Railway Station,Tasgaon,Tasgaon,Maharashtra,9835014040,Aadhar Card,734645005731,2008-11-01,Employed,Police,27000,694850,Savings,2014-10-12,89504844,ABTA2794,4700,Approved,45612360,Regular FD,200000,2022-12-07,12,9,Monthly,Savings,Gold,300000,36,Fixed,11,2015-03-15,2018-03-15,650,98745609,Pending,Auto Debit,Gold
2,29,Sunil Shetty,M,Near Bus Stand,Tasgaon,Tasgaon,Maharashtra,9835014041,Aadhar Card,734645005732,2009-07-12,Employed,Farmer,38000,456000,Savings,2015-01-07,89504845,ABTA2794,10000,Approved,45612361,Regular FD,150000,2015-04-11,24,9,Monthly,Savings,Agricultural,390000,36,Fixed,10,2022-02-13,2025-02-13,610,99556655,Approved,Check,Land
3,47,Sanjay Malusare,M,Maratha Colony,Tasgaon,Tasgaon,Maharashtra,9835014042,Aadhar Card,734645005733,2008-11-20,Employed,Farmer,30000,460000,Current,2014-12-12,89504846,ABTA2794,2000,Approved,,,,,,,,,Gold,600000,60,Fixed,11,2015-07-07,2020-07-07,700,99556656,Approved,Check,Land
4,66,Savita Panigre,F,Ravivar Peth,Tasgaon,Tasgaon,Maharashtra,9835014043,Aadhar Card,734645005734,2010-01-02,Retired,,,,Savings,2018-07-18,89504847,ABTA2794,10000,Approved,45612363,Senior Citizen FD,440000,2023-12-06,60,11,Monthly,Savings,,,,,,,,,,,,
5,27,Anil Murgunde,M,Near Jain Mandir,Tasgaon,Tasgaon,Maharashtra,9835014044,Aadhar Card,734645005735,2009-04-23,Self- Employed,Teacher,55553,666636,Current,2014-11-27,89506848,ABTA2794,5800,Approved,45612364,Regular FD,300000,2019-03-11,48,9,Monthly,Current,Home,2500000,120,Fixed,10,2015-04-17,2025-04-17,830,99556657,Approved,Auto Debit,Plot
6,35,Snehal Admuthe,F,Near Jain Mandir,Tasgaon,Tasgaon,Maharashtra,9735684045,Aadhar Card,734645005736,2010-09-05,Employed,Civil,50000,600000,Savings,2015-02-03,89504849,ABTA2794,3000,Approved,45612365,Regular FD,100000,2020-05-26,60,9,Monthly,Savings,Business,700000,60,Fixed,12,2015-07-08,2020-07-08,670,98745624,Approved,Auto Debit,Plot
7,33,Harshal Chougule,M,ShantiSagar Colony,Tasgaon,Tasgaon,Maharashtra,9735684046,Aadhar Card,734645005737,2008-07-30,Employed,Mechanical,40000,498000,Savings,2014-08-30,89504850,ABTA2794,4200,Approved,,,,,,,,,Car,500000,60,Fixed,10,2014-10-30,2019-10-30,760,98745625,Approved,Cash,Car
8,69,Rajaram Ghodke,M,Rajaram Nagar,Tasgaon,Tasgaon,Maharashtra,9735684047,Aadhar Card,734645005738,2011-12-10,Retired,,,,Savings,2017-12-10,89504851,ABTA2794,10000,Approved,45612367,Senior Citizen FD,450000,2019-09-18,48,11,Monthly,Savings,,,,,,,,,,,,
9,72,Tukaram Bhide,M,GokulDham Colony,Tasgaon,Tasgaon,Maharashtra,9735684048,Aadhar Card,734645005739,2012-06-20,Retired,,,,Savings,2016-03-06,89504852,ABTA2794,7000,Approved,45612368,Senior Citizen FD,320000,2023-03-01,24,11,Monthly,Current,,,,,,,,,,,,
10,39,Archana Singh,F,Nandani Road,Tasgaon,Tasgaon,Maharashtra,9735684049,Aadhar Card,734645005740,2008-04-08,Employed,Police,49000,588000,Current,2019-06-21,89504853,ABTA2794,9400,Approved,45612369,Regular FD,410000,2022-05-01,12,9,Monthly,Savings,Car,400000,36,Fixed,10,2020-03-01,2022-03-01,649,98745628,Approved,Cash,Car
