Serial No,Age,Name,Gender,Address,Branch,City ,State,Phone No,ID Type,ID No,ID Issue Date,Employment Status,Job Title,Monthly Income,Annual Income,Account Type,Account Opening Year and Date,Account Number,IFSC Code,Initial Deposit Amount,Application Status,FD Account Number,FD Type ,FD Amount,Deposit Date,Tenure,Interest Rate,Interest Payout Frequency,Linked Account Type ,Loan Type ,Loan Amount Requested,Loan Term,Interest Rate Type,Interest Rate Offered,Loan Start Date,Loan End Date,Credit Score,Loan Application Number,Loan Application Status,Repayment Method,Collateral Type
1,28,Akash Thosar,M,100 Ft Road,VishramBag,Sangli,Maharashtra,9835016329,Aadhar Card,568904005642,2016-08-13,Employed,Real Estate,27000,694850,Savings,2014-11-12,12345689,ABVI2791,3000,Approved,45612301,Regular FD,200000,2022-12-07,12,9,Monthly,Savings,,,,,,,,,,,,
2,30,Nilesh Parmaj,M,Diamond Hotel,VishramBag,Sangli,Maharashtra,7948555570,Aadhar Card,568904005643,2015-07-12,Employed,Civil,38000,456000,Savings,2015-01-10,12348903,ABVI2791,10000,Approved,,,,,,,,,Home,3600000,120,Fixed,10,2015-04-11,2025-04-11,735,99556648,Approved,Cash,Plot
3,25,Ketana Yadav,F,Vishrambag Chowk,VishramBag,Sangli,Maharashtra,5689646581,Aadhar Card,568904005644,2016-11-20,Employed,Farmer,30000,460000,Current,2017-02-18,12345683,ABVI2791,50000,Rejected,45612303,Regular FD,250000,2021-01-20,6,9,Monthly,Savings,,,,,,,,,,,,
4,50,Priya Apate,F,Police Line,VishramBag,Sangli,Maharashtra,1234567871,Aadhar Card,568904005645,2016-01-02,Employed,Accountant,40000,480000,Savings,2016-07-07,12348654,ABVI2791,8000,Approved,,,,,,,,,Gold,300000,24,Fixed,11,2017-03-15,2019-03-15,650,99556653,Pending,Auto Debit,Gold
5,27,Yogesh Yadav,M,China Hut Corner,VishramBag,Sangli,Maharashtra,5986884103,Aadhar Card,568904005646,2014-04-23,Self- Employed,Real Estate,55553,666636,Current,2018-01-03,68073103,ABVI2791,9000,Approved,45612304,Regular FD,300000,2019-03-11,29,9,Monthly,Current,,,,,,,,,,,,
6,35,Nikhil Mali,M,Kranti Bhel Corner,VishramBag,Sangli,Maharashtra,7893498555,Aadhar Card,568904005647,2014-09-05,Employed,Civil,50000,600000,Savings,2017-12-12,44893321,ABVI2791,5000,Approved,45612305,Regular FD,100000,2020-05-26,60,9,Monthly,Savings,,,,,,,,,,,,
7,33,Divya Birnale,F,100 Ft Road,VishramBag,Sangli,Maharashtra,9735685584,Aadhar Card,568904005648,2015-07-28,Employed,Farmer,40000,498000,Savings,2018-11-11,23791209,ABVI2791,4000,Approved,,,,,,,,,Car,500000,60,Fixed,10,2020-05-03,2025-05-03,735,98735606,Approved,Cash,Car
8,40,Dev Patil,M,China Hut Corner,VishramBag,Sangli,Maharashtra,6468895445,Aadhar Card,568904005649,2016-12-10,Employed,Doctor,32000,584000,Savings,2015-04-04,73148789,ABVI2791,5000,Approved,45612307,Regular FD,450000,2018-09-18,12,9,Monthly,Savings,Bike,140000,36,Fixed,10,2016-12-24,2019-12-24,810,99556645,Approved,Check,Bike
9,23,Faruq Shaikh,M,Diamond Hotel,VishramBag,Sangli,Maharashtra,9658965498,Aadhar Card,568904005650,2017-06-20,Employed,Accountant,35000,420000,Savings,2014-09-07,75490394,ABVI2791,8000,Pending,45612308,Regular FD,320000,2021-03-01,24,9,Monthly,Current,Gold,220000,24,Fixed,11,2014-11-12,2016-11-12,770,99556646,Approved,Auto Debit,Gold
10,39,Omkar Nalwade,M,Dandekar Hall,VishramBag,Sangli,Maharashtra,9356781260,Aadhar Card,568904005651,2016-04-08,Employed,Police,49000,588000,Current,2015-03-02,30549987,ABVI2791,7000,Approved,,,,,,,,,Bike,190000,36,Fixed,10,2015-08-21,2018-08-21,730,99556634,Approved,Check,Bike
11,27,Rupali Chougule,F,Walchand College,VishramBag,Sangli,Maharashtra,8978231794,Aadhar Card,568904005652,2017-08-01,Employed,Software,60000,720000,Savings,2015-01-23,79043389,ABVI2791,4000,Rejected,45612310,Regular FD,400000,2016-04-07,24,9,Monthly,Current,Home,3900000,120,Fixed,10,2015-12-18,2025-12-18,810,98735610,Approved,Check,Plot
12,50,Dev Birnale,M,Dandekar Hall,VishramBag,Sangli,Maharashtra,8822447769,Aadhar Card,568904005653,2013-02-05,Employed,Civil,43000,516000,Savings,2018-06-27,37850987,ABVI2791,10000,Approved,,,,,,,,,Business,4900340,60,Fixed,12,2020-10-06,2025-10-06,720,99556650,Approved,Check,Stock
