Serial No,Age,Name,Gender,Address,Branch,City ,State,Phone No,ID Type,ID No,ID Issue Date,Employment Status,Job Title,Monthly Income,Annual Income,Account Type,Account Opening Year and Date,Account Number,IFSC Code,Initial Deposit Amount,Application Status,FD Account Number,FD Type ,FD Amount,Deposit Date,Tenure,Interest Rate,Interest Payout Frequency,Linked Account Type ,Loan Type ,Loan Amount Requested,Loan Term,Interest Rate Type,Interest Rate Offered,Loan Start Date,Loan End Date,Credit Score,Loan Application Number,Loan Application Status,Repayment Method,Collateral Type
1,55,Shyam Tawdar,M,KK Colony,Nandre,Nandre,Maharashtra,9835014020,Aadhar Card,934644005711,2010-06-20,Employed,Accountant,70000,840000,Savings,2014-07-06,12345624,ABNA2793,8000,Approved,45612340,Regular FD,350000,2020-12-10,12,9,Monthly,Current,Gold,300000,24,Fixed,11,2014-09-15,2016-09-15,650,98745639,Approved,Auto Debit,Gold
2,29,Sunil Pachore,M,Near Jain Mandir,Nandre,Nandre,Maharashtra,9835014021,Aadhar Card,934645005712,2009-10-08,Employed,Farmer,31000,584530,Savings,2015-04-11,12348925,ABNA2793,7000,Approved,45612341,Regular FD,400000,2016-04-07,24,9,Monthly,Current,Agricultural,720000,48,Fixed,10,2019-12-01,2023-12-01,700,98745640,Approved,Check,Land
3,47,Sanjay Tare,M,Arihant Colony,Nandre,Nandre,Maharashtra,9835014022,Aadhar Card,934645005713,2011-08-01,Employed,Farmer,39000,650000,Current,2018-03-20,12345626,ABNA2793,4000,Approved,45612342,Regular FD,190000,2019-01-22,6,9,Monthly,Savings,Agricultural,190000,36,Fixed,10,2022-08-21,2025-08-21,730,98745641,Approved,Check,Land
4,64,Savita Sadalage,F,Near Jain Mandir,Nandre,Nandre,Maharashtra,9835014023,Aadhar Card,934645005714,2010-02-05,Retired,,,,Savings,2016-12-30,12348627,ABNA2793,10000,Approved,45612343,Senior Citizen FD,500000,2022-10-12,60,11,Monthly,Savings,,,,,,,,,,,,
5,27,Manjusha Wathare,F,Wathar Colony,Nandre,Nandre,Maharashtra,9835014024,Aadhar Card,934645005715,2011-12-24,Employed,Banking,55553,666636,Savings,2018-10-22,68073128,ABNA2793,2000,Approved,45612344,Regular FD,410000,2024-05-01,12,9,Monthly,Savings,Car,250000,36,Fixed,10,2019-01-22,2022-01-22,660,98745643,Approved,Cash,Car
6,35,Sneha Kore,F,Near Bus Stand,Nandre,Nandre,Maharashtra,9835014025,Aadhar Card,934645005716,2010-03-04,Employed,Civil,50000,600000,Savings,2014-08-09,44893329,ABNA2793,10000,Approved,45612345,Regular FD,380000,2023-10-30,12,9,Monthly,Savings,,,,,,,,,,,,
7,33,Harshal Chougule,M,Near Jain Mandir,Nandre,Nandre,Maharashtra,9735684026,Aadhar Card,934645005717,2009-01-14,Employed,Software,40000,498000,Current,2017-01-23,23791230,ABNA2793,5000,Approved,45612346,Regular FD,270000,2023-05-06,17,9,Monthly,Savings,Business,4900340,60,Fixed,12,2020-10-06,2025-10-06,720,98745645,Approved,Check,Stock
8,40,Harshda Jadhav,F,KK Colony,Nandre,Nandre,Maharashtra,9735684027,Aadhar Card,934645005718,2008-11-01,Self-Employed,Teacher,32000,584000,Current,2014-11-28,73148731,ABNA2793,3000,Approved,,,,,,,,,Gold,220000,24,Fixed,11,2015-01-12,2017-01-12,770,98745646,Approved,Auto Debit,Gold
9,69,Shantappa Koli,M,KK Colony,Nandre,Nandre,Maharashtra,9735684028,Aadhar Card,934645005719,2011-03-08,Retired,,,,Current,2016-06-26,75490332,ABNA2793,4000,Approved,45612348,Senior Citizen FD,890000,2023-02-02,36,11,Monthly,Savings,,,,,,,,,,,,
10,39,Archana Kole,F,Arihant Colony,Nandre,Nandre,Maharashtra,9735684029,Aadhar Card,934645005720,2012-08-13,Employed,Banking,49000,588000,Savings,2014-07-06,30549933,ABNA2793,10000,Approved,45612349,Regular FD,900000,2017-09-04,18,9,Monthly,Current,Home,2500000,120,Fixed,10,2015-10-26,2025-10-26,740,98745648,Approved,Cash,Plot
11,27,Aruna Pachore,F,Near Jain Mandir,Nandre,Nandre,Maharashtra,9735684030,Aadhar Card,934645005721,2008-07-12,Employed,Housewife,27000,694850,Savings,2014-11-12,79043334,ABNA2793,7000,Approved,45612350,Senior Citizen FD,760000,2021-01-01,36,11,Monthly,Savings,Business,1900000,60,Fixed,12,2016-11-09,2021-11-09,800,98745649,Approved,Auto Debit,Stock
12,50,Anil Pachore,M,Near Jain Mandir,Nandre,Nandre,Maharashtra,8822444031,Aadhar Card,934645005722,2009-11-20,Employed,Farmer,38000,456000,Savings,2020-03-21,37850935,ABNA2793,9000,Approved,45612351,Regular FD,200000,2022-12-07,12,9,Monthly,Savings,Agricultural,300000,36,Fixed,10,2022-04-20,2025-04-20,670,98745650,Approved,Auto Debit,Land
13,36,Yellappa Koli,M,Near Jain Mandir,Nandre,Nandre,Maharashtra,8822444032,Aadhar Card,934645005723,2010-01-02,Employed,Farmer,30000,460000,Savings,2015-07-10,90786336,ABNA2793,3000,Approved,,,,,,,,,Bike,130000,36,Fixed,10,2023-03-04,2026-03-04,680,98745651,Approved,Check,Bike
14,44,Shakil Kaif,M,Mohmad Colony,Nandre,Nandre,Maharashtra,8822444033,Aadhar Card,934645005724,2009-04-23,Employed,Accountant,60000,720000,Savings,2014-08-15,59073137,ABNA2793,10000,Approved,,,,,,,,,,,,,,,,,,,,
15,59,Deepali Soanle,F,KK Colony,Nandre,Nandre,Maharashtra,8822444034,Aadhar Card,934645005725,2010-09-05,Employed,Accountant,38000,456000,Savings,2019-08-23,49783038,ABNA2793,50000,Approved,45612354,Regular FD,140000,2023-12-06,24,9,Monthly,Savings,Car,610000,36,Fixed,10,2021-09-27,2024-09-27,750,98745653,Approved,Auto Debit,Car
16,44,Pratima Khot,F,Khot Colony,Nandre,Nandre,Maharashtra,8822444035,Aadhar Card,934645005726,2011-07-28,Self- Employed,Teacher,40000,498000,Current,2017-09-25,89354439,ABNA2793,8000,Approved,,,,,,,,,Business,900000,60,Fixed,12,2020-06-03,2025-06-03,680,98745654,Approved,Check,Stock
17,50,Prem Kumar,M,Near Petrol Pump,Nandre,Nandre,Maharashtra,8822444036,Aadhar Card,934645005727,2009-01-28,Employed,Doctor,32000,584000,Current,2015-02-06,79543240,ABNA2793,9000,Approved,45612356,Regular FD,100000,2020-05-26,60,9,Monthly,Savings,,,,,,,,,,,,
18,30,Aadarsh Pawar,M,Pawar Colony,Nandre,Nandre,Maharashtra,8822444037,Aadhar Card,934645005728,2009-04-09,Employed,Lightman,35000,520000,Current,2014-07-10,93056141,ABNA2793,5000,Approved,45612357,Regular FD,400000,2018-02-13,48,9,Monthly,Savings,Home,3600000,120,Fixed,10,2015-04-11,2025-04-11,735,98745656,Approved,Cash,Plot
19,66,Sachin Yadav,M,Yadav Colony,Nandre,Nandre,Maharashtra,8822444038,Aadhar Card,934645005729,2010-05-19,Retired,,,,Savings,2015-05-06,89504842,ABNA2793,4000,Approved,45612358,Senior Citizen FD,450000,2020-09-18,60,11,Monthly,Savings,,,,,,,,,,,,
20,35,Karuna Hankare,F,KK Colony,Nandre,Nandre,Maharashtra,8822444039,Aadhar Card,934645005730,2011-07-03,Employed,Software,27000,694850,Savings,2020-04-29,90591243,ABNA2793,5000,Approved,45612359,Regular FD,320000,2023-03-01,24,9,Monthly,Current,Car,1100000,60,Fixed,10,2021-02-18,2026-02-18,665,98745658,Approved,Auto Debit,Car
